"ZFeatureMap(4, reps=1) ADAM(maxiter=3) vdepth 3","[0.22076455274995896, 0.22076455275431445, 0.22076455274620232, 0.2207645527512964, 0.22076455274737541, 0.22076455274585943, 0.2207645527504278, 0.22076455275422907, 0.22076455274657447, 0.2207645527469248, 0.22076455275206008, 0.22076455274575954, 0.22076455275097995, 0.22076455275145876, 0.2207645527464982, 0.2207645527623078, 0.22076455274709797, 0.22076455274995896, 0.22076455274995896, 0.22076455274995896, 0.22076455274995896, 0.22076455274995896, 0.22076455274995896, 0.22076455274995896, 0.22076455274995896, 0.22021854267827273, 0.22021854268260563, 0.2202185426745253, 0.22021854267958776, 0.22021854267572355, 0.22021854267421045, 0.2202185426787478, 0.2202185426825179, 0.22021854267491903, 0.22021854267526575, 0.2202185426803609, 0.22021854267411997, 0.22021854267927957, 0.22021854267976526, 0.220218542674826, 0.22021854269056884, 0.2202185426754252, 0.22021854267827273, 0.22021854267827273, 0.22021854267827273, 0.22021854267827273, 0.22021854267827273, 0.22021854267827273, 0.22021854267827273, 0.22021854267827273, 0.21967626874559593, 0.21967626874990726, 0.2196762687418567, 0.21967626874688953, 0.21967626874308055, 0.21967626874157048, 0.21967626874607657, 0.21967626874981622, 0.21967626874227483, 0.21967626874261664, 0.2196762687476714, 0.2196762687414908, 0.21967626874658872, 0.21967626874708104, 0.21967626874216375, 0.21967626875783844, 0.21967626874276155, 0.21967626874559593, 0.21967626874559593, 0.21967626874559593, 0.21967626874559593, 0.21967626874559593, 0.21967626874559593, 0.21967626874559593, 0.21967626874559593, 0.21913779454122034]"
"ZFeatureMap(4, reps=1) COBYLA(maxiter=3) vdepth 5","[0.3033065692732817, 0.2363773496678996, 0.2505953405951284]"
"ZFeatureMap(4, reps=1) SPSA(max_trials=3) vdepth 5","[0.3239179310065704, 0.3009228890022996, 0.3223236443286073, 0.281587103944206, 0.2322146656012932, 0.20115501613006084, 0.193797172633622, 0.2035980310883805, 0.19475833473413104]"
"ZFeatureMap(4, reps=1) ADAM(maxiter=3) vdepth 5","[0.3033065692732817, 0.30330656926643484, 0.30330656927321326, 0.30330656927196376, 0.30330656927921484, 0.30330656927701816, 0.30330656927720745, 0.30330656927043415, 0.30330656927964617, 0.3033065692764679, 0.30330656927495075, 0.3033065692762127, 0.30330656927668753, 0.3033065692736873, 0.30330656927497196, 0.30330656926627525, 0.3033065692770441, 0.30330656926056104, 0.3033065692708746, 0.30330656926250393, 0.3033065692788947, 0.30330656928392036, 0.3033065692760897, 0.30330656928526856, 0.3033065692840534, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.3033065692732817, 0.30208008541510334, 0.30208008540828274, 0.30208008541501796, 0.30208008541379516, 0.30208008542102616, 0.3020800854188418, 0.3020800854190137, 0.3020800854122914, 0.30208008542145576, 0.3020800854183093, 0.3020800854167901, 0.30208008541805426, 0.302080085418482, 0.30208008541552783, 0.30208008541679987, 0.30208008540811543, 0.3020800854188588, 0.3020800854024409, 0.3020800854126789, 0.3020800854043833, 0.30208008542070525, 0.30208008542570297, 0.302080085417857, 0.30208008542702114, 0.30208008542585235, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30208008541510334, 0.30085723595111286, 0.3008572359443174, 0.30085723595101116, 0.3008572359498148, 0.30085723595702585, 0.300857235954854, 0.30085723595500885, 0.30085723594833563, 0.30085723595745384, 0.3008572359543367, 0.30085723595281605, 0.3008572359540835, 0.3008572359544645, 0.3008572359515573, 0.30085723595281477, 0.30085723594414293, 0.3008572359548638, 0.3008572359385093, 0.30085723594867264, 0.30085723594044966, 0.3008572359567015, 0.3008572359616723, 0.3008572359538115, 0.3008572359629625, 0.3008572359618406, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.30085723595111286, 0.29963817526561737]"
"PauliFeatureMap(4, reps=1) COBYLA(maxiter=3) vdepth 1","[0.2800250430041522, 0.3183948779152589, 0.25093997015691016]"
"PauliFeatureMap(4, reps=1) SPSA(max_trials=3) vdepth 1","[0.26621554289022165, 0.290467347754825, 0.2742218375216987, 0.2893841626564243, 0.2622581575862617, 0.277861178464123, 0.25886791142582416, 0.27412198372915575, 0.24925983313519837]"
"PauliFeatureMap(4, reps=1) ADAM(maxiter=3) vdepth 1","[0.2800250430041522, 0.2800250430077578, 0.28002504299865494, 0.2800250430026642, 0.28002504300143916, 0.2800250430039844, 0.28002504299791625, 0.2800250430017798, 0.2800250429999679, 0.27976269237740886, 0.2797626923810052, 0.2797626923719246, 0.2797626923759214, 0.2797626923747046, 0.27976269237725204, 0.27976269237116896, 0.27976269237504, 0.2797626923732426, 0.2795009814538617, 0.27950098145744934, 0.279500981448391, 0.2795009814523748, 0.2795009814511665, 0.2795009814537167, 0.2795009814476179, 0.27950098145149693, 0.2795009814497134, 0.2792399236351111]"
"PauliFeatureMap(4, reps=1) COBYLA(maxiter=3) vdepth 3","[0.2230098484872255, 0.23405490574343127, 0.21803489467705944]"
"PauliFeatureMap(4, reps=1) SPSA(max_trials=3) vdepth 3","[0.22035435249746002, 0.23743489406460225, 0.22141839514897657, 0.23428540383273125, 0.26096164737340555, 0.2724905335726152, 0.24620676042859133, 0.25290159389710604, 0.2440745887833623]"
"PauliFeatureMap(4, reps=1) ADAM(maxiter=3) vdepth 3","[0.2230098484872255, 0.22300984848704478, 0.2230098484852343, 0.22300984848698238, 0.22300984848414118, 0.2230098484860066, 0.2230098484871483, 0.22300984848746871, 0.22300984848699779, 0.22300984848751337, 0.22300984848955133, 0.22300984848516361, 0.22300984848677483, 0.2230098484887652, 0.2230098484874178, 0.22300984848778765, 0.2230098484869957, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.22286061781805208, 0.2228606178178631, 0.22286061781605873, 0.2228606178178119, 0.22286061781496708, 0.2228606178168356, 0.22286061781796307, 0.22286061781830724, 0.22286061781783, 0.22286061781834046, 0.22286061782036748, 0.2228606178159984, 0.22286061781760208, 0.2228606178195994, 0.22286061781823502, 0.22286061781860872, 0.22286061781780625, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22271126645336456, 0.22271126645316758, 0.22271126645136857, 0.22271126645312808, 0.2227112664502798, 0.2227112664521512, 0.22271126645326397, 0.22271126645363146, 0.2227112664531489, 0.22271126645365383, 0.22271126645566974, 0.22271126645131933, 0.22271126645291578, 0.22271126645492062, 0.22271126645353834, 0.22271126645391706, 0.2227112664531042, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22256179765591114]"
"PauliFeatureMap(4, reps=1) COBYLA(maxiter=3) vdepth 5","[0.3019006244204876, 0.3541406268498265, 0.29060942626170294]"
"PauliFeatureMap(4, reps=1) SPSA(max_trials=3) vdepth 5","[0.3044559711869686, 0.27822125081574317, 0.3162241750343245, 0.29240616652177526, 0.3089059355519943, 0.3011944733440149, 0.2839888798212067, 0.3024086559975444, 0.22721811846547002]"
"PauliFeatureMap(4, reps=1) ADAM(maxiter=3) vdepth 5","[0.3019006244204876, 0.3019006244277181, 0.3019006244209539, 0.30190062441975024, 0.3019006244201945, 0.3019006244219891, 0.3019006244213449, 0.3019006244201783, 0.3019006244218955, 0.30190062442351595, 0.3019006244178213, 0.30190062442327315, 0.3019006244219414, 0.30190062441894366, 0.30190062442051835, 0.3019006244216726, 0.30190062441628646, 0.3019006244196576, 0.30190062442239335, 0.3019006244175544, 0.3019006244159121, 0.30190062442267296, 0.3019006244289515, 0.30190062442111215, 0.30190062442337245, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3013599643595331, 0.3013599643667416, 0.3013599643599987, 0.3013599643587936, 0.30135996435922685, 0.30135996436102136, 0.30135996436039403, 0.3013599643592103, 0.3013599643609286, 0.3013599643625492, 0.30135996435687235, 0.30135996436230394, 0.3013599643609879, 0.30135996435799, 0.30135996435955054, 0.3013599643607328, 0.3013599643553349, 0.30135996435869694, 0.30135996436142953, 0.3013599643565908, 0.30135996435495765, 0.3013599643616913, 0.3013599643679806, 0.30135996436016316, 0.3013599643624285, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3008200527320549, 0.3008200527392417, 0.30082005273251944, 0.3008200527313129, 0.30082005273173507, 0.3008200527335306, 0.3008200527329202, 0.300820052731719, 0.30082005273343704, 0.3008200527350598, 0.30082005272940066, 0.300820052734811, 0.3008200527335095, 0.30082005273051327, 0.30082005273206014, 0.3008200527332701, 0.3008200527278602, 0.30082005273121354, 0.3008200527339418, 0.3008200527291038, 0.30082005272747997, 0.3008200527341853, 0.3008200527404869, 0.30082005273269097, 0.30082005273495993, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3002809072330759]"
